dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
ADBench Mammography (binary stress test),Median rank,aggregate,130,False,0.3643998546989327,0.0009050180761446784,0.36349483662278803,0.15599284436493738,0.36561601792760756,1308.0,525350.0,1445275,0.37088852738399564,0.15106338256489937,0.22585318263716037,0.449461800729571,0.22377515238983903,0.22377515238983903,0.8544014394467567,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.19230769230769232
ADBench Mammography (binary stress test),Median rank,aggregate,260,True,0.24699806865832652,0.0020040714770413934,0.24499399718128512,0.17104247104247106,0.2478985767505405,5759.0,704027.0,2873650,0.24992640793245022,0.15106338256489937,0.2733910489757011,0.3278265126124135,0.22377515238983903,0.22377515238983903,0.8544014394467567,0.2653846153846154,0.2653846153846154,0.2653846153846154,0.2653846153846154
ADBench Mammography (binary stress test),Median rank,aggregate,520,False,0.15865767558145677,0.0032880257760092963,0.15536964980544746,0.1383948421520676,0.15915080183813185,18675.0,882453.0,5679700,0.31730082606215537,0.15106338256489937,0.2573006689505893,0.3886815602827966,0.22377515238983903,0.22377515238983903,0.8544014394467567,0.175,0.175,0.35,0.35
ADBench Mammography (binary stress test),Reciprocal-rank fusion,aggregate,130,False,0.34877653041808654,0.0007569493694971545,0.3480195810485894,0.1304710793082886,0.35005045619358477,1094.0,502984.0,1445275,0.3549870069507532,0.14061494688054244,0.19043126117990725,0.4285426197784374,0.1935404441580887,0.1935404441580887,0.8298889428798795,0.36923076923076925,0.36923076923076925,0.18461538461538463,0.18461538461538463
ADBench Mammography (binary stress test),Reciprocal-rank fusion,aggregate,260,True,0.2352450715988377,0.0019257738416299827,0.23331929775720772,0.16435996435996436,0.23608546539060135,5534.0,670478.0,2873650,0.23803407066246943,0.14061494688054244,0.26652918044277013,0.3123769376065417,0.1935404441580887,0.1935404441580887,0.8298889428798795,0.25384615384615383,0.25384615384615383,0.25384615384615383,0.25384615384615383
ADBench Mammography (binary stress test),Reciprocal-rank fusion,aggregate,520,False,0.13511030512174937,0.003367959575329683,0.1317423455464197,0.14175930042982066,0.1349484919094785,19129.0,748257.0,5679700,0.2702082409031049,0.14061494688054244,0.27899028072044846,0.3479690416084616,0.1935404441580887,0.1935404441580887,0.8298889428798795,0.1519230769230769,0.1519230769230769,0.3038461538461538,0.3038461538461538
ADBench Mammography (binary stress test),Rank product,aggregate,130,False,0.36403452630122296,0.0005396896784348999,0.36349483662278803,0.09302325581395349,0.36561601792760756,780.0,525350.0,1445275,0.37051669377953367,0.1443905821326531,0.13468309056344427,0.4386424139659369,0.2026550310132124,0.2026550310132124,0.8387467517376883,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.19230769230769232
ADBench Mammography (binary stress test),Rank product,aggregate,260,True,0.2543844935882936,0.0016073634576235798,0.25277713013067005,0.13718443718443718,0.25577398432383325,4619.0,726393.0,2873650,0.25740040422819876,0.1443905821326531,0.2173033029899527,0.3268211028100384,0.2026550310132124,0.2026550310132124,0.8387467517376883,0.27307692307692305,0.27307692307692305,0.27307692307692305,0.27307692307692305
ADBench Mammography (binary stress test),Rank product,aggregate,520,False,0.15455076852650668,0.0031190027642305053,0.15143176576227618,0.13128056914184083,0.15511708351668962,17715.0,860087.0,5679700,0.3090873879393517,0.1443905821326531,0.2462278456922717,0.375790839401391,0.2026550310132124,0.2026550310132124,0.8387467517376883,0.17115384615384616,0.17115384615384616,0.3423076923076923,0.3423076923076923
ADBench Mammography (binary stress test),Best-rank fusion,aggregate,130,False,0.29403677500821646,0.00018058846932244728,0.293856186538894,0.031127012522361358,0.295570990124505,261.0,424703.0,1445275,0.29927253008824006,0.12907161299439876,0.04718479170155325,0.3556984812371019,0.1384185448498777,0.1384185448498777,0.802807766251875,0.3153846153846154,0.3153846153846154,0.1576923076923077,0.1576923076923077
ADBench Mammography (binary stress test),Best-rank fusion,aggregate,260,True,0.1880507368677466,0.0014302368068484332,0.18662050006089817,0.12206712206712207,0.18883301995084473,4110.0,536282.0,2873650,0.1902802132409383,0.12907161299439876,0.21236834060330967,0.2528106555017248,0.1384185448498777,0.1384185448498777,0.802807766251875,0.2076923076923077,0.2076923076923077,0.2076923076923077,0.2076923076923077
ADBench Mammography (binary stress test),Best-rank fusion,aggregate,520,False,0.11652974628941669,0.0025078789372678136,0.11402186735214888,0.10555802578923966,0.11679675946298848,14244.0,647610.0,5679700,0.23304882428749496,0.12907161299439876,0.21847730762567277,0.29693207325003884,0.1384185448498777,0.1384185448498777,0.802807766251875,0.1346153846153846,0.1346153846153846,0.2692307692307692,0.2692307692307692
